iter	Passed	Remaining
0	162	162541
1	178	89079
2	195	64965
3	215	53636
4	230	45902
5	246	40889
6	263	37399
7	280	34779
8	295	32543
9	311	30862
10	328	29528
11	345	28406
12	361	27412
13	378	26662
14	394	25904
15	409	25188
16	426	24657
17	443	24174
18	458	23680
19	474	23256
20	490	22873
21	506	22504
22	524	22270
23	545	22182
24	560	21870
25	576	21606
26	592	21346
27	607	21078
28	623	20865
29	640	20703
30	656	20513
31	673	20379
32	690	20248
33	709	20169
34	725	19997
35	741	19855
36	778	20261
37	814	20609
38	837	20628
39	854	20506
40	870	20369
41	887	20233
42	903	20100
43	918	19958
44	934	19827
45	949	19684
46	963	19541
47	978	19410
48	992	19269
49	1008	19157
50	1021	19011
51	1036	18894
52	1052	18803
53	1066	18689
54	1082	18604
55	1098	18510
56	1112	18410
57	1127	18312
58	1142	18218
59	1156	18112
60	1170	18016
61	1184	17925
62	1199	17832
63	1213	17742
64	1227	17657
65	1241	17576
66	1257	17517
67	1272	17447
68	1287	17369
69	1304	17327
70	1319	17263
71	1334	17195
72	1349	17130
73	1363	17066
74	1378	16997
75	1393	16938
76	1410	16903
77	1425	16844
78	1441	16806
79	1457	16756
80	1471	16699
81	1486	16646
82	1503	16607
83	1518	16560
84	1535	16525
85	1550	16483
86	1565	16432
87	1581	16390
88	1596	16340
89	1612	16300
90	1626	16250
91	1640	16194
92	1655	16143
93	1669	16094
94	1684	16042
95	1699	16005
96	1714	15962
97	1729	15920
98	1745	15883
99	1761	15849
100	1777	15824
101	1793	15791
102	1809	15760
103	1825	15730
104	1843	15712
105	1862	15704
106	1879	15688
107	1899	15689
108	1915	15661
109	1958	15845
110	1977	15837
111	1995	15824
112	2010	15783
113	2026	15747
114	2041	15712
115	2056	15674
116	2071	15634
117	2086	15595
118	2100	15553
119	2115	15513
120	2130	15476
121	2144	15430
122	2158	15389
123	2172	15350
124	2187	15310
125	2202	15276
126	2216	15236
127	2231	15202
128	2245	15163
129	2260	15126
130	2274	15089
